aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-50d9cad51d9f,Hong Kong,open,MCGC_model_prediction,0.4085,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-50da07707278,Hong Kong,open,MCGC_model_prediction,0.0081,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-50f43beef64a,Hong Kong,open,MCGC_model_prediction,0.1733,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-50f4bf3805e0,Hong Kong,open,MCGC_model_prediction,0.3514,low,<5k_m2,<1,0,0,yes,yes
GBA-10-510604dbea3c,Hong Kong,open,MCGC_model_prediction,0.0261,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-5111995b1053,Hong Kong,gated,MCGC_model_prediction,0.6693,low,<5k_m2,<1,0,0,yes,yes
GBA-10-5112bcdf5259,Hong Kong,open,MCGC_model_prediction,0.0049,very_high,<5k_m2,1_2,0,0,yes,yes
GBA-10-51195a0d53fe,Hong Kong,open,MCGC_model_prediction,0.1321,high,<5k_m2,2_4,0,0,yes,yes
GBA-10-511d28735a16,Hong Kong,open,MCGC_model_prediction,0.1667,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-512245b3339e,Hong Kong,open,MCGC_model_prediction,0.0057,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-5123acbc6685,Hong Kong,open,MCGC_model_prediction,0.0081,very_high,<5k_m2,1_2,0,0,yes,yes
GBA-10-5123b2f07f97,Hong Kong,open,MCGC_model_prediction,0.0281,very_high,<5k_m2,1_2,0,0,yes,yes
GBA-10-5123cc6c122f,Hong Kong,open,MCGC_model_prediction,0.0660,high,<5k_m2,4_8,0,0,yes,yes
GBA-10-513ad94d4a96,Hong Kong,open,MCGC_model_prediction,0.0228,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-51464b032527,Hong Kong,open,MCGC_model_prediction,0.2439,medium,5k_10k_m2,<1,0,0,yes,yes
GBA-10-514fccecc88c,Hong Kong,open,MCGC_model_prediction,0.1950,medium,<5k_m2,>=8,0.001_0.002,1_2,yes,yes
GBA-10-515381b85e24,Hong Kong,gated,MCGC_model_prediction,0.7387,medium,10k_25k_m2,<1,0,0,yes,yes
GBA-10-5159291adc11,Hong Kong,gated,MCGC_model_prediction,0.8051,medium,10k_25k_m2,4_8,0,0,yes,yes
GBA-10-5166f5119950,Hong Kong,open,MCGC_model_prediction,0.0373,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-5167af42e5b7,Hong Kong,gated,MCGC_model_prediction,0.7897,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-516d5e2ea887,Hong Kong,open,MCGC_model_prediction,0.0712,high,<5k_m2,<1,0,0,yes,yes
GBA-10-51765e567ed5,Hong Kong,open,MCGC_model_prediction,0.0590,high,<5k_m2,<1,0,0,yes,yes
GBA-10-5179982a5d31,Hong Kong,open,MCGC_model_prediction,0.1299,high,5k_10k_m2,<1,0_0.0005,3_5,yes,yes
GBA-10-5199f5238280,Hong Kong,open,MCGC_model_prediction,0.0058,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-51a6abe9df91,Hong Kong,open,MCGC_model_prediction,0.1035,high,<5k_m2,<1,0,0,yes,yes
GBA-10-51aa37dfd1f5,Hong Kong,open,MCGC_model_prediction,0.3483,low,<5k_m2,2_4,0_0.0005,1_2,yes,yes
GBA-10-51ad68bf6ca0,Hong Kong,open,MCGC_model_prediction,0.4655,low,10k_25k_m2,1_2,0,0,yes,yes
GBA-10-51b0b86ba133,Hong Kong,gated,MCGC_model_prediction,0.9937,very_high,50k_100k_m2,1_2,0_0.0005,3_5,yes,yes
GBA-10-51b188e1dc84,Hong Kong,open,MCGC_model_prediction,0.0144,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-51b436709bdd,Hong Kong,open,MCGC_model_prediction,0.2568,medium,<5k_m2,2_4,0.002_0.005,1_2,yes,yes
GBA-10-51bdba250bb3,Hong Kong,open,MCGC_model_prediction,0.0320,very_high,<5k_m2,1_2,0,0,yes,yes
GBA-10-51c6aa45072f,Hong Kong,open,MCGC_model_prediction,0.1519,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-51d0a2e2099d,Hong Kong,open,MCGC_model_prediction,0.0437,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-51db92a17576,Hong Kong,open,MCGC_model_prediction,0.2899,medium,<5k_m2,>=8,0,0,yes,yes
GBA-10-51decb04f41d,Hong Kong,open,MCGC_model_prediction,0.0486,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-51f616cb41f6,Hong Kong,open,MCGC_model_prediction,0.0083,very_high,<5k_m2,2_4,0,0,yes,yes
GBA-10-5200fa8322bf,Hong Kong,open,MCGC_model_prediction,0.2343,medium,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-52028bc1ac33,Hong Kong,open,MCGC_model_prediction,0.0050,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-520da39ec393,Hong Kong,open,MCGC_model_prediction,0.0065,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-521372265edb,Hong Kong,open,MCGC_model_prediction,0.3898,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-52179c6855a0,Hong Kong,gated,MCGC_model_prediction,0.9240,high,25k_50k_m2,1_2,0_0.0005,3_5,yes,yes
GBA-10-52196473563d,Hong Kong,open,MCGC_model_prediction,0.1060,high,<5k_m2,<1,0,0,yes,yes
GBA-10-522904c65b79,Hong Kong,open,MCGC_model_prediction,0.0330,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-523e97f1c4f5,Hong Kong,open,MCGC_model_prediction,0.0255,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-5240ee7233f3,Hong Kong,gated,MCGC_model_prediction,0.5864,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-5257c7080d4e,Hong Kong,gated,MCGC_model_prediction,0.8898,high,10k_25k_m2,4_8,0.0005_0.001,>5,yes,yes
GBA-10-5258339d5b19,Hong Kong,open,MCGC_model_prediction,0.0306,very_high,<5k_m2,1_2,0,0,yes,yes
