aoi_id,city,centroid_lon,centroid_lat,area_m2,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-04183fce4c54,Hong Kong,114.184814,22.310737,1360.75,open,MCGC_model_prediction,0.4284,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-041ee88b0477,Hong Kong,114.183570,22.438164,3975.33,gated,MCGC_model_prediction,0.7772,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-0423011ece52,Hong Kong,114.204450,22.289583,16497.08,gated,MCGC_model_prediction,0.5109,low,10k_25k_m2,2_4,0,0,yes,yes
GBA-10-043241d2384f,Hong Kong,114.123828,22.505569,8372.02,open,MCGC_model_prediction,0.3590,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-0439d2fc97dd,Hong Kong,114.096075,22.368764,5468.07,gated,MCGC_model_prediction,0.9070,high,5k_10k_m2,1_2,0,0,yes,yes
GBA-10-043a5dfe1dc4,Hong Kong,114.158358,22.247684,308.27,open,MCGC_model_prediction,0.0511,high,<5k_m2,1_2,0,0,yes,yes
GBA-10-04406ced1867,Hong Kong,114.211057,22.287741,2020.74,gated,MCGC_model_prediction,0.9547,very_high,<5k_m2,>=8,0.002_0.005,3_5,yes,yes
GBA-10-0441864bfac7,Hong Kong,114.144090,22.283968,368.33,open,MCGC_model_prediction,0.0186,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-04508403cd24,Hong Kong,114.028194,22.443141,523.11,gated,MCGC_model_prediction,0.5600,low,<5k_m2,>=8,0.001_0.002,1_2,yes,yes
GBA-10-045a3ce4d31c,Hong Kong,114.192897,22.270556,25382.44,gated,MCGC_model_prediction,0.7100,medium,25k_50k_m2,1_2,0,0,yes,yes
GBA-10-045b9fc8e378,Hong Kong,114.160949,22.321683,16656.62,gated,MCGC_model_prediction,0.7073,medium,10k_25k_m2,>=8,0.0005_0.001,>5,yes,yes
GBA-10-045f740d8b40,Hong Kong,114.174102,22.276846,349.20,open,MCGC_model_prediction,0.0080,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-0466eb5bca9c,Hong Kong,114.213609,22.330279,48516.01,open,MCGC_model_prediction,0.3681,low,25k_50k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-04696542b042,Hong Kong,114.134577,22.285616,539.64,open,MCGC_model_prediction,0.0148,very_high,<5k_m2,>=8,0.001_0.002,1_2,yes,yes
GBA-10-046d1226e786,Hong Kong,114.168243,22.319274,118.90,gated,MCGC_model_prediction,0.5056,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-046f04b7f472,Hong Kong,113.964442,22.451039,353.13,open,MCGC_model_prediction,0.0085,very_high,<5k_m2,<1,0,0,yes,yes
